id,title,label,latintoponym,pleiades,welchid,golvinid,buildingtype,chronogroup,secondcentury,capacity,modcountry,romanregion,zotero,amphitheatrum,dimensionsunknown,arenamajor,arenaminor,extmajor,extminor,exteriorheight,longitude,latitude,elevation
urbisagliaAmphitheater,Amphitheater at Urbs Salvia,Urbs Salvia,Urbs Saglia,https://pleiades.stoa.org/places/413364,,165,amphitheater,flavian,TRUE,5150,Italy,regio-v,,https://amphi-theatrum.de/1556.html,FALSE,59,35,98,71,,13.387224,43.200877,219
saintesAmphitheater,Amphitheater at Saintes,Saintes,Mediolanum Santonum,https://pleiades.stoa.org/places/138458,,100,amphitheater,imperial,TRUE,20197,France,aquitania,,https://amphi-theatrum.de/1526.html,FALSE,65.2,39.2,126.4,101.6,,-0.6433512,45.7453926,20
assisiAmphitheater,Amphitheater at Assisi,Assisi,Asisium,https://pleiades.stoa.org/places/413037,,,amphitheater,first-century,TRUE,,Italy,regio-vi,,https://amphi-theatrum.de/1386.html,FALSE,60,35,,,,12.620454,43.071077,445
durresAmphitheater,Amphitheater at Durrës,Durrës,Dyrrachium,https://pleiades.stoa.org/places/481818,,178,amphitheater,second-century,TRUE,20000,Albania,macedonia,4MKNQEGP,,FALSE,61.4,42.2,132.4,113.2,,19.445131,41.312241,15
lambaesisAmphitheater,Amphitheater at Lambaesis,Lambaesis,Lambaesis,https://pleiades.stoa.org/places/334570,,111,amphitheater,second-century,TRUE,15400,Algeria,mauretania,,https://amphi-theatrum.de/1444.html,FALSE,68,55,104.6,94,,6.2599349,35.4892469,1170
mactarisAmphitheater,Amphitheater at Mactaris,Mactaris,Mactaris,https://pleiades.stoa.org/places/324774,,119,amphitheater,second-century,TRUE,5000,Tunisia,proconsularis,,,FALSE,38.4,24.8,63.2,49.6,,9.2066727,35.8556279,911
cirencesterAmphitheater,Amphitheater at Cirencester,Cirencester,Corinium Dobunnorum,https://pleiades.stoa.org/places/197225,,33,amphitheater,second-century,TRUE,10210,United Kingdom,britannia,,https://amphi-theatrum.de/1490.html,FALSE,46,41,89,81,,-1.972188,51.71151,119
vindonissaAmphitheater,Amphitheater at Vindonissa,Vindonissa,Vindonissa,https://pleiades.stoa.org/places/177661,,17,amphitheater,flavian,TRUE,15142,Switzerland,germania-superior,LD7NNHSG,https://amphi-theatrum.de/1454.html,FALSE,64,51,112,98,,8.213605,47.47629,361
thysdrusSmallAmphitheater,Small Amphitheater at Thysdrus,Thysdrus (Sm.),Thysdrus,https://pleiades.stoa.org/places/324835,,112,amphitheater,second-century,TRUE,9000,Tunisia,proconsularis,,https://amphi-theatrum.de/1344.html,FALSE,60,40,92,72,,10.707911,35.290106,116
thysdrusAmphitheater,Amphitheater at Thysdrus,Thysdrus (lg.),Thysdrus,https://pleiades.stoa.org/places/324835,,186,amphitheater,post-severan,FALSE,35000,Tunisia,proconsularis,,https://amphi-theatrum.de/1343.html,FALSE,65,39,148,122,40,10.706939,35.29639,111
frejusAmphitheater,Amphitheater Fréjus,Fréjus,Forum Julii,https://pleiades.stoa.org/places/157836,,138,amphitheater,flavian,TRUE,13854,France,narbonensis,LD7NNHSG,https://amphi-theatrum.de/1540.html,FALSE,67.7,39.7,113.7,85.7,,6.72871,43.43446,12
gortynAmphitheater,Amphitheater at Gortyn,Gortyn,Gortyna,https://pleiades.stoa.org/places/589796,,,amphitheater,second-century,TRUE,,Greece,crete-et-cyrenaica,4PCVKVQ8,https://amphi-theatrum.de/2484.html,FALSE,,,85,,,24.953076,35.056454,150
leptiminusAmphitheater,Amphitheater at Leptiminus,Leptiminus,Leptiminus,https://pleiades.stoa.org/places/324767,,114,amphitheater,second-century,TRUE,9100,Tunisia,proconsularis,,https://amphi-theatrum.de/1322.html,FALSE,45,26,81,62,,10.866282,35.678077,9
miciaAmphitheater,Amphitheater at Micia,Micia,Micia,https://pleiades.stoa.org/places/207286,,47,amphitheater,second-century,TRUE,1722,Romania,dacia,,https://amphi-theatrum.de/1447.html,FALSE,44,26,56,37,,22.81731,45.915008,183
gemellaeAmphitheater,Amphitheater at Gemellae,Gemellae,Gemellae,https://pleiades.stoa.org/places/334553,,44,amphitheater,hadrianic,TRUE,3204,Algeria,mauretania,FPC6XYXG,https://amphi-theatrum.de/1445.html,FALSE,52,32,72,52,,5.522992,34.635435,83
cherchellAmphitheater,Amphitheater at Cherchell,Cherchel,Caesarea,https://pleiades.stoa.org/places/295279,,81,amphitheater,augustan,TRUE,,Algeria,mauretania,9L8A5YQT,https://amphi-theatrum.de/2425.html,FALSE,98,37,145,78,,2.198958,36.60878,29
pulaAmphitheater,Amphitheater at Pula,Pula,Colonia Pietas Iulia Pola Pollentia Herculanea,https://pleiades.stoa.org/places/197448,,151,amphitheater,julio-claudian,TRUE,26000,Croatia,regio-x,,https://amphi-theatrum.de/1539.html,FALSE,67.95,41.65,132.45,105.1,32.45,13.850243,44.873229,16
